종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
095570,AJ네트웍스,"4,590","30","0.66","4,590","4,585","781,237","3,706,015,025","4,735","4,950","4,585","1,000",원(KRW),"46,822,295","214,914,334,050",917
006840,AK홀딩스,"25,300","-1,250","4.71","25,450","25,300","106,732","2,718,418,700","26,200","26,200","25,050","5,000",원(KRW),"13,247,561","335,163,293,300",
027410,BGF,"4,820","20","0.42","4,830","4,815","1,089,384","5,252,573,200","4,760","4,885","4,720","1,000",원(KRW),"95,716,791","461,354,932,620",
282330,BGF리테일,"129,000","-3,000","2.27","129,500","129,000","43,637","5,671,121,000","133,500","134,000","128,000","1,000",원(KRW),"17,283,906","2,229,623,874,000",
138930,BNK금융지주,"5,830","-10","0.17","5,840","5,830","1,241,588","7,261,144,190","5,870","5,890","5,810","5,000",원(KRW),"325,935,246","1,900,202,484,180",
001460,BYC,"287,000","-1,000","0.35","287,500","287,000","48","13,757,500","286,000","288,000","286,000","5,000",원(KRW),"624,615","179,264,505,000",
001465,BYC우,"139,000","-1,000","0.71","139,500","139,000","7","973,500","139,500","139,500","139,000","5,000",원(KRW),"215,385","29,938,515,000",
001040,CJ,"82,900","-300","0.36","83,000","82,900","65,362","5,447,129,300","83,600","84,500","82,600","5,000",원(KRW),"29,176,998","2,418,773,134,200",
079160,CJ CGV,"23,950","-200","0.83","23,950","23,900","459,170","10,827,395,100","23,600","23,950","23,200","500",원(KRW),"35,100,000","840,645,000,000",
00104K,CJ4우(전환),"63,100","-100","0.16","63,200","63,000","4,516","285,111,300","63,600","63,600","62,500","5,000",원(KRW),"4,226,512","266,692,907,200",
000120,CJ대한통운,"160,500","-500","0.31","161,000","160,500","32,967","5,310,288,500","162,500","162,500","160,000","5,000",원(KRW),"22,812,344","3,661,381,212,000",
011150,CJ씨푸드,"5,400","140","2.66","5,400","5,390","2,577,248","14,086,308,050","5,410","5,550","5,380","500",원(KRW),"35,930,773","194,026,174,200",
011155,CJ씨푸드1우,"44,250","150","0.34","44,250","44,200","477","21,243,250","45,000","45,000","44,250","500",원(KRW),"200,000","8,850,000,000",
