date,검역,제주,경남,경북,전남,전북,충남,충북,강원,경기,세종,울산,대전,광주,인천,대구,부산,서울
2020-03-06,,0.0,3.0,123.0,0.0,0.0,4.0,3.0,2.0,10.0,0.0,0.0,2.0,-1.0,0.0,367.0,3.0,2.0
2020-03-07,,0.0,5.0,65.0,0.0,0.0,2.0,5.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,390.0,1.0,3.0
2020-03-08,,0.0,1.0,32.0,0.0,0.0,6.0,4.0,1.0,11.0,1.0,1.0,0.0,0.0,0.0,297.0,1.0,12.0
2020-03-09,,0.0,0.0,26.0,0.0,0.0,4.0,1.0,1.0,11.0,3.0,0.0,1.0,2.0,0.0,190.0,-1.0,10.0
2020-03-10,,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,11.0,2.0,0.0,-1.0,0.0,4.0,92.0,0.0,11.0
2020-03-11,,0.0,1.0,18.0,0.0,0.0,8.0,2.0,1.0,12.0,2.0,1.0,0.0,0.0,12.0,131.0,2.0,52.0
2020-03-12,,0.0,1.0,8.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,0.0,2.0,0.0,0.0,73.0,1.0,19.0
2020-03-13,,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,7.0,17.0,2.0,2.0,0.0,2.0,61.0,1.0,13.0
2020-03-14,,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,15.0,6.0,0.0,0.0,0.0,1.0,62.0,3.0,13.0
2020-03-15,,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,11.0,1.0,1.0,0.0,1.0,2.0,41.0,3.0,9.0
2020-03-16,,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,35.0,1.0,6.0
2020-03-17,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,12.0
2020-03-18,5.0,0.0,0.0,9.0,1.0,2.0,3.0,1.0,1.0,15.0,1.0,2.0,0.0,1.0,1.0,46.0,0.0,5.0
2020-03-19,5.0,0.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,18.0,0.0,6.0,0.0,0.0,0.0,97.0,0.0,12.0
2020-03-20,1.0,0.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,4.0,34.0,1.0,17.0
2020-03-21,6.0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,69.0,0.0,15.0
2020-03-22,11.0,0.0,1.0,11.0,1.0,0.0,1.0,1.0,0.0,16.0,0.0,0.0,2.0,1.0,0.0,43.0,0.0,10.0
2020-03-23,13.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,24.0,1.0,6.0
2020-03-24,20.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,31.0,2.0,4.0
2020-03-25,34.0,2.0,0.0,5.0,2.0,0.0,3.0,0.0,1.0,21.0,2.0,1.0,0.0,0.0,1.0,14.0,1.0,13.0
2020-03-26,30.0,0.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,14.0,0.0,0.0,6.0,0.0,1.0,26.0,0.0,13.0
2020-03-27,13.0,1.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,2.0,1.0,1.0,3.0,34.0,1.0,12.0
2020-03-28,24.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,5.0,71.0,1.0,18.0
2020-03-29,21.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,15.0,2.0,0.0,3.0,0.0,7.0,23.0,3.0,20.0
2020-03-30,13.0,1.0,1.0,11.0,0.0,1.0,0.0,3.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,16.0
2020-03-31,15.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,6.0,60.0,1.0,24.0
2020-04-01,7.0,0.0,4.0,2.0,3.0,1.0,3.0,0.0,2.0,23.0,0.0,0.0,0.0,4.0,5.0,20.0,3.0,24.0
2020-04-02,18.0,0.0,6.0,2.0,2.0,0.0,2.0,0.0,1.0,17.0,0.0,1.0,0.0,1.0,4.0,21.0,0.0,14.0
