,rowID,기준일,누적환진률,누적검사수,누적 검사 완료 수,치료중 환자 수,격리해제 수,사망자 수,확진자 수,검사 진행 수,결과 음성 수 ,수정일
0,361,20201221,1.4181385274,3713861,3567423,14738,35155,698,50591,146438,3516832,null
1,360,20201220,1.4015332912,3683094,3543619,14269,34722,674,49665,139475,3493954,null
2,359,20201219,1.3798240575,3646247,3520014,13577,34334,659,48570,126233,3471444,null
3,358,20201219,1.3798240575,3646247,3520014,13577,34334,659,48570,126233,3471444,null
4,357,20201218,1.3656965426,3589795,3479177,12888,33982,645,47515,110618,3431662,null
5,356,20201217,1.3505420135,3538840,3439582,12209,33610,634,46453,99258,3393129,null
6,355,20201216,1.3388980799,3488769,3393985,11883,32947,612,45442,94784,3348543,null
7,354,20201215,1.3251897470,3441220,3347747,11205,32559,600,44364,93473,3303383,null
8,353,20201214,1.3145929369,3397039,3307792,10795,32102,587,43484,89247,3264308,null
9,352,20201213,1.3020685858,3374595,3284466,10372,31814,580,42766,90129,3241700,null
10,351,20201212,1.2790205208,3349864,3263122,9665,31493,578,41736,86742,3221386,null
11,350,20201211,1.2613479097,3311213,3233525,9057,31157,572,40786,77688,3192739,null
12,349,20201210,1.2510362122,3277947,3205183,8897,30637,564,40098,72764,3165085,null
13,348,20201208,1.2300149553,3221317,3150043,8544,29650,552,38746,71274,3111297,null
14,347,20201209,1.2407194612,3253236,3178156,8699,30177,556,39432,75080,3138724,null
15,345,20201207,1.2147899990,3209376,3141366,8311,29301,549,38161,68010,3103205,null
16,344,20201206,1.2006455716,3194867,3127151,7873,29128,545,37546,67716,3089605,null
17,343,20201205,1.1853656234,3180496,3114229,7458,28917,540,36915,66267,3077314,null
18,342,20201204,1.1745032073,3157410,3093393,7185,28611,536,36332,64017,3057061,null
19,341,20201203,1.1644441893,3131886,3066098,6822,28352,529,35703,65788,3030395,null
20,340,20201202,1.1559870814,3106970,3041816,6572,28065,526,35163,65154,3006653,null
21,339,20201201,1.1477573651,3083997,3019105,6241,27885,526,34652,64892,2984453,null
22,338,20201130,1.1408673073,3061172,2997807,6050,27625,526,34201,63365,2963606,null
23,337,20201129,1.1334581263,3046971,2984142,5759,27542,523,33824,62829,2950318,null
24,336,20201128,1.1225241405,3032004,2973210,5504,27349,522,33375,58794,2939835,null
25,335,20201127,1.1137036309,3009577,2952940,5268,27103,516,32887,56637,2920053,null
26,334,20201126,1.1019935656,2988046,2932685,4853,26950,515,32318,55361,2900367,null
27,333,20201125,1.0903373809,2966405,2910567,4397,26825,513,31735,55838,2878832,null
28,332,20201124,1.0853934217,2946399,2888630,4121,26722,510,31353,57769,2857277,null
29,331,20201123,1.0819072611,2922135,2865680,3956,26539,509,31004,56455,2834676,null
30,330,20201122,1.0765147585,2908890,2854861,3762,26466,505,30733,54029,2824128,null
31,329,20201121,1.0684961451,2896746,2845401,3535,26365,503,30403,51345,2814998,null
32,328,20201120,1.0624358475,2873443,2825300,3253,26263,501,30017,48143,2795283,null
33,327,20201119,1.0559345487,2853843,2808318,3058,26098,498,29654,45525,2778664,null
34,326,20201118,1.0499435105,2834362,2791674,2842,25973,496,29311,42688,2762363,null
35,325,20201117,1.0451413254,2815755,2774553,2644,25860,494,28998,41202,2745555,null
36,324,20201116,1.0425904108,2797691,2759377,2516,25759,494,28769,38314,2730608,null
37,323,20201115,1.0378476640,2786878,2750500,2362,25691,493,28546,36378,2721954,null
38,322,20201114,1.0332542477,2777289,2742597,2210,25636,492,28338,34692,2714259,null
39,321,20201113,1.0300253506,2761411,2731292,2108,25537,488,28133,30119,2703159,null
40,320,20201112,1.0270951388,2749772,2720488,2051,25404,487,27942,29284,2692546,null
41,319,20201111,1.0266093418,2736534,2707846,2046,25266,487,27799,28688,2680047,null
42,318,20201110,1.0256648016,2723960,2696105,2008,25160,485,27653,27855,2668452,null
43,317,20201109,1.0267955132,2709199,2683397,2044,25029,480,27553,25802,2655844,null
44,316,20201108,1.0244536147,2702880,2677232,1981,24968,478,27427,25648,2649805,null
45,315,20201107,1.0214778407,2697249,2671032,1897,24910,477,27284,26217,2643748,null
46,314,20201106,1.0221052097,2686314,2660685,1898,24821,476,27195,25629,2633490,null
47,313,20201105,1.0212773026,2673706,2648644,1840,24735,475,27050,25062,2621594,2020-11-05 09:52:58.741
48,312,20201104,1.0206576560,2662260,2638005,1835,24616,474,26925,24255,2611080,null
49,311,20201103,1.0215911013,2649859,2624044,1825,24510,472,26807,25815,2597237,null
50,310,20201102,1.0237728857,2636650,2611126,1869,24395,468,26732,25524,2584394,null
51,309,20201101,1.0221460500,2630630,2605792,1812,24357,466,26635,24838,2579157,null
52,308,20201031,1.0201191774,2624492,2598814,1736,24311,464,26511,25678,2572303,null
53,307,20201030,1.0203576530,2612231,2585858,1695,24227,463,26385,26373,2559473,null
54,306,20201029,1.0214905339,2597978,2571830,1641,24168,462,26271,26148,2545559,null
55,305,20201028,1.0213057839,2582960,2560056,1612,24073,461,26146,22904,2533910,null
56,304,20201027,1.0234678831,2567587,2544584,1602,23981,460,26043,23003,2518541,null
57,303,20201026,1.0252810486,2552264,2531501,1593,23905,457,25955,20763,2505546,null
58,302,20201025,1.0234251706,2546146,2524464,1510,23869,457,25836,21682,2498628,null
59,301,20201024,1.0233084047,2540679,2518791,1484,23834,457,25775,21888,2493016,null
60,300,20201023,1.0245631213,2528621,2508191,1526,23717,455,25698,20430,2482493,null
61,299,20201022,1.0235574904,2515325,2495512,1443,23647,453,25543,19813,2469969,null
