,일자2,광역시도,확진자,사망자,전일대비,격리해제,격리중,지역발생,해외유입,10만명당
0,2020-12-21,검역,2343,1,10,1658,684,0,10,-
1,2020-12-21,제주,252,0,23,102,150,23,0,18.93
2,2020-12-21,경남,1077,3,15,748,326,15,0,26.36
3,2020-12-21,경북,2035,61,48,1715,259,48,0,70.05
4,2020-12-21,전남,508,5,9,418,85,8,1,25.79
5,2020-12-21,전북,688,7,13,441,240,11,2,28.67
6,2020-12-21,충남,1288,18,16,950,320,16,0,54.47
7,2020-12-21,충북,803,13,33,424,366,29,4,36.26
8,2020-12-21,강원,976,13,25,692,271,22,3,54.14
9,2020-12-21,경기,11946,173,244,8235,3538,237,7,77.36
10,2020-12-21,세종,129,0,0,121,8,0,0,37.39
11,2020-12-21,울산,562,16,17,280,266,17,0,42.11
12,2020-12-21,대전,699,6,3,568,125,3,0,44.57
13,2020-12-21,광주,879,3,13,751,125,11,2,56.77
14,2020-12-21,인천,2336,15,88,1591,730,85,3,65.36
15,2020-12-21,대구,7518,200,21,7082,236,21,0,303.06
16,2020-12-21,부산,1513,28,20,1009,476,19,1,38.01
17,2020-12-21,서울,15039,136,328,8370,6533,327,1,130.04
18,2020-12-21,합계,50591,698,926,35155,14738,892,34,154.51
19,2020-12-20,검역,2333,1,9,1657,675,0,9,-
20,2020-12-20,제주,229,0,24,93,136,24,0,34.14
21,2020-12-20,경남,1062,2,51,734,326,49,2,31.59
22,2020-12-20,경북,1987,60,25,1711,216,23,2,74.63
23,2020-12-20,전남,499,5,4,418,76,4,0,26.76
24,2020-12-20,전북,675,6,29,439,230,29,0,37.14
25,2020-12-20,충남,1272,17,20,942,313,19,1,59.93
26,2020-12-20,충북,770,11,14,415,344,14,0,48.14
27,2020-12-20,강원,951,13,55,684,254,55,0,61.73
28,2020-12-20,경기,11702,164,249,8082,3456,244,5,88.31
29,2020-12-20,세종,129,0,1,121,8,0,1,37.68
30,2020-12-20,울산,545,14,6,270,261,5,1,47.51
31,2020-12-20,대전,696,6,3,559,131,3,0,47.21
32,2020-12-20,광주,866,3,14,747,116,13,1,59.45
33,2020-12-20,인천,2248,15,62,1573,660,62,0,76.05
34,2020-12-20,대구,7497,200,25,7075,222,25,0,307.70
35,2020-12-20,부산,1493,27,33,982,484,33,0,43.76
36,2020-12-20,서울,14711,130,473,8220,6361,470,3,151.14
37,2020-12-20,합계,49665,674,1097,34722,14269,1072,25,95.79
38,2020-12-19,검역,2324,1,4,1657,666,0,4,-
39,2020-12-19,제주,205,0,24,91,114,24,0,18.93
40,2020-12-19,경남,1011,2,32,715,294,32,0,26.36
41,2020-12-19,경북,1962,60,29,1703,199,29,0,70.05
42,2020-12-19,전남,495,5,5,413,77,5,0,25.79
43,2020-12-19,전북,646,5,15,430,211,13,2,28.67
44,2020-12-19,충남,1252,17,24,928,307,24,0,54.47
45,2020-12-19,충북,756,9,103,404,343,103,0,36.26
46,2020-12-19,강원,896,13,27,676,207,27,0,54.14
47,2020-12-19,경기,11453,155,278,8082,3216,264,14,77.36
48,2020-12-19,세종,128,0,0,118,10,0,0,37.39
49,2020-12-19,울산,539,14,9,255,270,7,2,42.11
50,2020-12-19,대전,693,6,5,551,136,5,0,44.57
51,2020-12-19,광주,852,3,9,742,107,9,0,56.77
52,2020-12-19,인천,2186,14,46,1513,659,46,0,65.36
53,2020-12-19,대구,7472,200,20,7073,199,20,0,303.06
54,2020-12-19,부산,1460,27,39,952,481,39,0,38.01
55,2020-12-19,서울,14240,128,384,8031,6081,382,2,130.04
56,2020-12-19,합계,48570,659,1053,34334,13577,1029,24,93.68
57,2020-12-18,검역,2320,1,9,1657,662,0,9,-
58,2020-12-18,제주,181,0,27,86,95,27,0,18.93
59,2020-12-18,경남,979,2,44,695,282,43,1,26.36
60,2020-12-18,경북,1933,59,31,1697,177,31,0,70.05
61,2020-12-18,전남,490,4,5,406,80,5,0,25.79
62,2020-12-18,전북,631,4,16,419,208,12,4,28.67
63,2020-12-18,충남,1228,16,18,912,300,16,2,54.47
64,2020-12-18,충북,653,7,31,378,268,30,1,36.26
65,2020-12-18,강원,869,13,18,661,195,18,0,54.14
66,2020-12-18,경기,11172,153,301,7944,3075,300,1,77.36
67,2020-12-18,세종,128,0,0,116,12,0,0,37.39
68,2020-12-18,울산,530,11,31,244,275,30,1,42.11
69,2020-12-18,대전,688,6,5,545,137,5,0,44.57
70,2020-12-18,광주,843,3,4,736,104,3,1,56.77
71,2020-12-18,인천,2141,14,65,1498,629,64,1,65.36
72,2020-12-18,대구,7452,200,20,7067,185,20,0,303.06
73,2020-12-18,부산,1421,26,39,925,470,39,0,38.01
74,2020-12-18,서울,13856,126,398,7996,5734,393,5,130.04
75,2020-12-18,합계,47515,645,1062,33982,12888,1036,26,91.64
76,2020-12-17,검역,2311,1,7,1654,656,0,7,-
77,2020-12-17,제주,154,0,12,82,72,12,0,22.96
78,2020-12-17,경남,935,2,30,677,256,30,0,27.82
79,2020-12-17,경북,1902,59,9,1686,157,9,0,71.44
80,2020-12-17,전남,485,4,0,404,77,0,0,26.01
81,2020-12-17,전북,615,4,19,405,206,18,1,33.84
82,2020-12-17,충남,1210,15,19,893,302,17,2,57.01
83,2020-12-17,충북,622,7,19,363,252,19,0,38.89
84,2020-12-17,강원,851,13,9,655,183,9,0,55.24
85,2020-12-17,경기,10871,151,291,7820,2900,284,7,82.04
86,2020-12-17,세종,128,0,0,116,12,0,0,37.39
87,2020-12-17,울산,499,8,10,238,253,10,0,43.50
88,2020-12-17,대전,683,6,11,535,142,11,0,46.33
89,2020-12-17,광주,839,3,10,730,106,10,0,57.60
90,2020-12-17,인천,2076,14,80,1461,601,80,0,70.23
91,2020-12-17,대구,7432,200,21,7063,169,20,1,305.03
92,2020-12-17,부산,1382,22,44,907,453,44,0,40.51
93,2020-12-17,서울,13458,125,423,7921,5412,420,3,138.26
94,2020-12-17,합계,46453,634,1014,33610,12209,993,21,89.60
95,2020-12-16,검역,2304,1,6,1654,649,0,6,-
96,2020-12-16,제주,142,0,15,82,60,15,0,18.93
97,2020-12-16,경남,905,2,19,659,244,19,0,26.36
98,2020-12-16,경북,1893,59,28,1676,158,28,0,70.05
99,2020-12-16,전남,485,4,4,378,103,4,0,25.79
100,2020-12-16,전북,596,3,75,382,211,75,0,28.67
101,2020-12-16,충남,1191,13,35,869,309,35,0,54.47
102,2020-12-16,충북,603,4,23,345,254,22,1,36.26
103,2020-12-16,강원,842,12,8,641,189,8,0,54.14
104,2020-12-16,경기,10580,144,329,7642,2794,320,9,77.36
105,2020-12-16,세종,128,0,0,110,18,0,0,37.39
106,2020-12-16,울산,489,6,6,231,252,6,0,42.11
107,2020-12-16,대전,672,6,15,522,144,15,0,44.57
108,2020-12-16,광주,829,3,2,715,111,2,0,56.77
109,2020-12-16,인천,1999,14,67,1436,549,64,3,65.36
110,2020-12-16,대구,7411,200,27,7053,158,27,0,303.06
111,2020-12-16,부산,1338,21,41,862,455,41,0,38.01
112,2020-12-16,서울,13035,120,378,7690,5225,373,5,130.04
113,2020-12-16,합계,45442,612,1078,32947,11883,1054,24,87.65
114,2020-12-15,검역,2298,1,8,1654,643,0,8,-
115,2020-12-15,제주,127,0,9,78,49,9,0,18.93
116,2020-12-15,경남,886,2,16,632,252,16,0,26.36
117,2020-12-15,경북,1865,59,15,1671,135,15,0,70.05
118,2020-12-15,전남,481,4,1,373,104,1,0,25.79
119,2020-12-15,전북,521,2,15,366,153,13,2,28.67
120,2020-12-15,충남,1156,13,37,849,294,37,0,54.47
121,2020-12-15,충북,580,4,25,316,260,24,1,36.26
122,2020-12-15,강원,834,12,13,629,193,13,0,54.14
123,2020-12-15,경기,10251,138,288,7481,2632,274,14,77.36
124,2020-12-15,세종,128,0,1,110,18,1,0,37.39
125,2020-12-15,울산,483,6,49,218,259,49,0,42.11
126,2020-12-15,대전,657,6,32,512,139,32,0,44.57
127,2020-12-15,광주,827,3,5,697,127,5,0,56.77
128,2020-12-15,인천,1932,14,55,1415,503,55,0,65.36
