,rowID,등록일,구분,확진자,확진률,치명률,사망자,사망률,수정일
0,5565,2020-12-21,0-9,1684,3.33,3.33,0,0.00,null
1,5564,2020-12-21,10-19,3150,6.23,6.23,0,0.00,null
2,5563,2020-12-21,20-29,8552,16.9,16.9,0,0.00,null
3,5562,2020-12-21,30-39,6414,12.68,12.68,3,0.43,null
4,5561,2020-12-21,40-49,7099,14.03,14.03,6,0.86,null
5,5560,2020-12-21,50-59,9402,18.58,18.58,29,4.15,null
6,5559,2020-12-21,60-69,7883,15.58,15.58,84,12.03,null
7,5558,2020-12-21,70-79,3979,7.87,7.87,204,29.23,null
8,5557,2020-12-21,80 이상,2428,4.8,4.8,372,53.30,null
9,5556,2020-12-21,여성,26262,51.91,51.91,340,48.71,null
10,5555,2020-12-21,남성,24329,48.09,48.09,358,51.29,null
11,5543,2020-12-20,0-9,1638,3.3,3.3,0,0.00,null
12,5542,2020-12-20,10-19,3105,6.25,6.25,0,0.00,null
13,5541,2020-12-20,20-29,8455,17.02,17.02,0,0.00,null
14,5540,2020-12-20,30-39,6297,12.68,12.68,2,0.30,null
15,5539,2020-12-20,40-49,6975,14.04,14.04,6,0.89,null
16,5538,2020-12-20,50-59,9207,18.54,18.54,28,4.15,null
17,5537,2020-12-20,60-69,7722,15.55,15.55,81,12.02,null
18,5536,2020-12-20,70-79,3892,7.84,7.84,200,29.67,null
19,5535,2020-12-20,80 이상,2374,4.78,4.78,357,52.97,null
20,5534,2020-12-20,여성,25797,51.94,51.94,329,48.81,null
21,5533,2020-12-20,남성,23868,48.06,48.06,345,51.19,null
22,5532,2020-12-19,0-9,1591,3.28,3.28,0,0.00,null
23,5531,2020-12-19,10-19,3035,6.25,6.25,0,0.00,null
24,5530,2020-12-19,20-29,8318,17.13,17.13,0,0.00,null
25,5529,2020-12-19,30-39,6155,12.67,12.67,2,0.30,null
26,5528,2020-12-19,40-49,6823,14.05,14.05,6,0.91,null
27,5527,2020-12-19,50-59,8974,18.48,18.48,28,4.25,null
28,5526,2020-12-19,60-69,7534,15.51,15.51,77,11.68,null
29,5525,2020-12-19,70-79,3813,7.85,7.85,199,30.20,null
30,5524,2020-12-19,80 이상,2327,4.79,4.79,347,52.66,null
31,5523,2020-12-19,여성,25325,52.14,52.14,320,48.56,null
32,5522,2020-12-19,남성,23245,47.86,47.86,339,51.44,null
33,5499,2020-12-18,0-9,1558,3.28,3.28,0,0.00,null
34,5498,2020-12-18,10-19,2969,6.25,6.25,0,0.00,null
35,5497,2020-12-18,20-29,8183,17.22,17.22,0,0.00,null
36,5496,2020-12-18,30-39,6044,12.72,12.72,2,0.31,null
37,5495,2020-12-18,40-49,6669,14.04,14.04,6,0.93,null
38,5494,2020-12-18,50-59,8754,18.42,18.42,26,4.03,null
39,5493,2020-12-18,60-69,7358,15.49,15.49,77,11.94,null
40,5492,2020-12-18,70-79,3730,7.85,7.85,197,30.54,null
