종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
060310,3S,"2,180","-30","1.36","2,180","2,175","122,723","267,747,005","2,205","2,205","2,150","500",원(KRW),"44,802,511","97,669,473,980",1463
054620,APS홀딩스,"8,190","310","3.93","8,200","8,190","236,442","1,912,455,300","7,880","8,220","7,810","500",원(KRW),"20,394,221","167,028,669,990",
265520,AP시스템,"24,100","-200","0.82","24,100","24,050","108,121","2,594,868,600","24,300","24,300","23,800","500",원(KRW),"14,480,227","348,973,470,700",
211270,AP위성,"6,970","-10","0.14","6,970","6,960","53,629","374,020,120","6,980","7,020","6,910","500",원(KRW),"15,014,804","104,653,183,880",
035760,CJ ENM,"136,400","-600","0.44","136,700","136,400","48,178","6,551,114,400","136,700","136,900","135,300","5,000",원(KRW),"21,929,154","2,991,136,605,600",
051500,CJ프레시웨이,"19,150","-500","2.54","19,200","19,150","76,168","1,464,140,500","19,550","19,550","18,900","1,000",원(KRW),"11,871,586","227,340,871,900",
058820,CMG제약,"6,230","80","1.30","6,230","6,220","3,222,036","20,018,808,570","6,150","6,300","6,070","500",원(KRW),"138,892,244","865,298,680,120",
023460,CNH,"2,225","-25","1.11","2,230","2,225","76,783","170,948,385","2,250","2,275","2,140","2,500",원(KRW),"37,200,000","82,770,000,000",
065770,CS,"2,405","-25","1.03","2,410","2,405","13,434","32,331,400","2,430","2,430","2,395","500",원(KRW),"18,835,150","45,298,535,750",
083660,CSA 코스믹,"2,285","-15","0.65","2,290","2,285","10,460","23,893,180","2,300","2,310","2,275","500",원(KRW),"37,072,045","84,709,622,825",
322780,DB금융스팩7호,"2,130","135","6.77","2,130","2,100","280,136","597,366,365","2,025","2,245","2,005","100",원(KRW),"4,550,000","9,691,500,000",
367340,DB금융스팩8호,"1,985","-10","0.50","1,985","1,980","31,956","63,497,525","1,995","1,995","1,985","100",원(KRW),"6,050,000","12,009,250,000",
068790,DMS,"8,420","-170","1.98","8,420","8,410","120,103","1,016,012,790","8,680","8,680","8,390","500",원(KRW),"24,573,061","206,905,173,620",
241520,DSC인베스트먼트,"7,910","-220","2.71","7,950","7,910","912,384","7,332,249,270","8,120","8,270","7,770","500",원(KRW),"18,219,383","144,115,319,530",
245620,EDGC,"9,960","320","3.32","9,960","9,940","499,099","4,953,578,140","9,810","10,050","9,800","100",원(KRW),"42,914,524","427,428,659,040",
037370,EG,"10,750","-200","1.83","10,750","10,700","108,910","1,182,085,600","11,050","11,150","10,550","1,000",원(KRW),"7,500,000","80,625,000,000",
079190,EMW,"2,780","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"31,784,197","88,360,067,660",
130500,GH신소재,"10,900","150","1.40","10,900","10,850","1,849,316","20,433,568,150","11,000","11,350","10,750","500",원(KRW),"11,000,000","119,900,000,000",
900290,GRT,"951","0","0.00","0","0","0","0","0","0","0","0",중국위안(CNY),"67,375,000","64,073,625,000",
083450,GST,"16,300","-100","0.61","16,300","16,250","54,352","887,846,200","16,500","16,500","16,200","500",원(KRW),"9,317,745","151,879,243,500",
028150,GS홈쇼핑,"142,200","700","0.49","142,300","142,200","13,175","1,871,624,800","142,100","142,700","141,600","5,000",원(KRW),"6,562,500","933,187,500,000",
045890,GV,"521","-7","1.33","523","521","842,290","449,341,707","531","563","520","500",원(KRW),"70,630,808","36,798,650,968",
078150,HB테크놀러지,"2,115","-25","1.17","2,115","2,110","281,426","593,606,825","2,140","2,145","2,090","500",원(KRW),"78,990,426","167,064,750,990",
036640,HRS,"4,505","-35","0.77","4,505","4,480","60,327","269,542,350","4,540","4,555","4,425","500",원(KRW),"16,354,800","73,678,374,000",
335870,IBKS제12호스팩,"2,090","0","0.00","2,095","2,090","4,704","9,831,360","2,090","2,090","2,090","100",원(KRW),"3,120,000","6,520,800,000",
351340,IBKS제13호스팩,"2,095","0","0.00","2,095","2,070","6","12,570","2,095","2,095","2,095","100",원(KRW),"5,170,000","10,831,150,000",
351320,IBKS제14호스팩,"2,105","15","0.72","2,105","2,065","128","269,490","2,110","2,110","2,105","100",원(KRW),"4,330,000","9,114,650,000",
095340,ISC,"23,950","-900","3.62","23,950","23,900","630,651","15,338,410,600","24,650","25,700","23,350","500",원(KRW),"14,142,508","338,713,066,600",
099520,ITX-AI,"2,535","-5","0.20","2,540","2,535","136,193","345,019,105","2,540","2,590","2,465","500",원(KRW),"29,301,683","74,279,766,405",
950170,JTC,"5,620","-170","2.94","5,620","5,610","108,728","612,869,690","5,760","5,760","5,610","0",일본엔(JPY),"35,005,517","196,731,005,540",
067290,JW신약,"6,020","120","2.03","6,020","6,010","247,379","1,467,813,620","5,900","6,030","5,870","500",원(KRW),"41,667,166","250,836,339,320",
035900,JYP Ent.,"38,500","-250","0.65","38,500","38,450","218,389","8,349,499,850","38,600","38,750","37,500","500",원(KRW),"35,497,492","1,366,653,442,000",
024840,KBI메탈,"1,865","0","0.00","1,865","1,855","114,176","211,784,745","1,865","1,880","1,845","500",원(KRW),"32,950,848","61,453,331,520",
024120,KB오토시스,"6,200","10","0.16","6,200","6,190","8,839","54,676,340","6,180","6,200","6,130","500",원(KRW),"11,500,000","71,300,000,000",
021320,KCC건설,"8,700","-200","2.25","8,730","8,700","65,383","575,204,780","8,900","8,940","8,640","5,000",원(KRW),"21,400,000","186,180,000,000",
036670,KCI,"10,100","110","1.10","10,100","10,050","54,229","545,894,550","10,000","10,150","10,000","500",원(KRW),"11,270,000","113,827,000,000",
044180,KD,"1,500","15","1.01","1,500","1,495","98,192","145,113,395","1,500","1,500","1,460","500",원(KRW),"15,670,660","23,505,990,000",
151860,KG ETS,"5,360","210","4.08","5,360","5,350","3,588,177","19,476,420,350","5,220","5,590","5,190","500",원(KRW),"36,000,000","192,960,000,000",
046440,KG모빌리언스,"10,200","-50","0.49","10,250","10,200","188,937","1,945,667,100","10,350","10,500","10,150","500",원(KRW),"38,825,568","396,020,793,600",
035600,KG이니시스,"19,800","0","0.00","19,850","19,750","215,750","4,310,159,150","19,850","20,350","19,550","500",원(KRW),"27,904,434","552,507,793,200",
060720,KH바텍,"17,850","-250","1.38","17,850","17,800","90,357","1,609,373,850","18,000","18,050","17,700","500",원(KRW),"23,673,903","422,579,168,550",
122450,KMH,"37,000","3,050","8.98","37,000","36,900","2,913,861","109,155,157,150","36,450","39,700","35,100","500",원(KRW),"22,667,982","838,715,334,000",
052900,KMH하이텍,"1,815","-55","2.94","1,820","1,815","8,927,067","16,568,541,070","1,875","1,910","1,800","500",원(KRW),"46,885,499","85,097,180,685",
058400,KNN,"2,365","-15","0.63","2,365","2,360","1,369,779","3,210,990,355","2,360","2,375","2,320","500",원(KRW),"132,429,720","313,196,287,800",
114450,KPX생명과학,"14,850","-250","1.66","14,900","14,850","1,291,799","19,715,355,600","15,400","15,700","14,750","500",원(KRW),"15,000,000","222,750,000,000",
