,ID,커피빈,스타벅스,이디야,빽다방,커피지수,y,x
0,강릉,0,5,15,2,2.3333333333333335,3,11
1,정선,0,0,2,0,0.0,3,10
2,원주,1,10,11,5,6.0,5,10
3,영월,0,0,0,0,0.0,7,10
4,태백,0,1,1,0,1.0,4,10
5,춘천,1,10,27,4,4.407407407407407,1,9
6,삼척,0,1,1,2,3.0,5,11
7,철원,0,0,2,0,0.0,0,7
8,속초,0,4,8,0,0.5,1,10
9,동해,1,1,1,1,3.0,4,11
10,화천,0,0,1,0,0.0,0,8
11,양구,0,0,1,0,0.0,0,9
12,횡성,0,0,1,0,0.0,2,9
13,양양,0,0,2,0,0.0,2,10
14,홍천,0,2,3,1,1.6666666666666665,2,8
15,평창,0,2,2,0,1.0,6,10
16,고성(강원),0,2,1,0,2.0,0,10
17,인제,0,1,3,0,0.3333333333333333,1,8
18,안산 상록,0,1,13,1,1.0769230769230769,7,3
19,여주,1,2,5,0,0.6,5,9
20,부천,7,7,33,9,9.424242424242424,5,2
21,남양주,1,12,46,3,3.282608695652174,2,7
22,수원 영통,4,10,20,4,4.7,9,7
23,광주,0,5,15,3,3.3333333333333335,7,9
24,시흥,1,9,19,8,8.526315789473685,6,3
25,평택,1,10,14,5,5.785714285714286,11,4
26,포천,0,5,11,1,1.4545454545454546,1,6
27,화성,5,19,26,11,11.923076923076923,9,3
28,파주,1,7,19,8,8.421052631578947,2,3
29,군포,2,4,10,7,7.6,9,5
30,수원 권선,1,7,14,2,2.571428571428571,10,5
31,김포,2,14,22,8,8.727272727272727,4,2
32,고양 일산동,5,16,15,2,3.4,2,4
33,성남 분당,17,47,23,12,14.782608695652174,8,7
34,안양 만안,1,4,10,4,4.5,4,3
35,용인 기흥,2,13,21,7,7.714285714285714,9,8
36,성남 중원,1,2,6,3,3.5,7,8
37,수원 팔달,3,13,13,4,5.230769230769231,11,6
38,용인 처인,0,5,7,2,2.7142857142857144,9,9
39,의정부,0,12,23,4,4.521739130434782,1,7
40,구리,1,3,13,3,3.3076923076923075,3,8
41,고양 일산서,5,16,12,1,2.75,3,3
42,용인 수지,2,10,19,3,3.6315789473684212,8,9
43,성남 수정,1,3,8,4,4.5,8,8
44,안성,0,5,5,0,1.0,10,4
