종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
112190,KC산업,"2,105","-5","0.24","2,195","2,105","28","60,395","2,285","2,285","2,105","500",원(KRW),"7,125,253","14,998,657,565",144
224880,SGA클라우드서비스,"2,965","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"5,418,165","16,064,859,225",
284610,TS트릴리온,"3,240","0","0.00","0","0","0","0","0","0","0","100",원(KRW),"37,657,000","122,008,680,000",
183410,골프존데카,"1,080","-140","11.48","1,295","1,080","112","120,960","1,080","1,080","1,080","500",원(KRW),"4,111,161","4,440,053,880",
076340,관악산업,"6,030","-10","0.17","6,030","5,780","12","69,830","5,800","6,030","5,800","500",원(KRW),"4,871,460","29,374,903,800",
329050,구스앤홈,"3,330","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"1,230,200","4,096,566,000",
243870,굿센,"13,500","-1,000","6.90","14,000","12,800","258","3,648,800","13,500","16,650","12,700","500",원(KRW),"1,457,951","19,682,338,500",
244880,나눔테크,"2,095","10","0.48","2,095","1,855","1","2,095","2,095","2,095","2,095","500",원(KRW),"5,020,000","10,516,900,000",
288490,나라소프트,"296","6","2.07","296","283","11,704","3,416,979","303","303","283","100",원(KRW),"30,480,000","9,022,080,000",
086220,네추럴FNP,"2,800","0","0.00","2,795","2,505","0","0","0","0","0","500",원(KRW),"10,573,865","29,606,822,000",
317860,노드메이슨,"10,600","0","0.00","11,000","10,000","0","0","0","0","0","500",원(KRW),"3,758,258","39,837,534,800",
229500,노브메타파마,"21,450","0","0.00","21,450","21,350","708","15,181,500","21,950","21,950","21,100","500",원(KRW),"8,962,867","192,253,497,150",
323350,다원넥스뷰,"23,400","3,050","14.99","23,400","17,300","1","23,400","23,400","23,400","23,400","500",원(KRW),"730,000","17,082,000,000",
086080,다이노나,"4,615","85","1.88","4,615","4,580","3,261","14,739,820","4,460","4,710","4,450","500",원(KRW),"32,931,086","151,976,961,890",
271850,다이오진,"2,335","45","1.97","2,335","2,065","1,004","2,258,080","2,245","2,335","2,245","100",원(KRW),"3,123,000","7,292,205,000",
343090,단디바이오,"6,400","10","0.16","6,400","6,200","108","690,130","6,390","6,400","6,390","1,000",원(KRW),"5,458,325","34,933,280,000",
178600,대동고려삼,"4,370","-15","0.34","4,370","4,030","101","407,370","4,030","4,370","4,030","500",원(KRW),"4,449,600","19,444,752,000",
114920,대주이엔티,"1,135","0","0.00","1,305","977","0","0","0","0","0","500",원(KRW),"3,469,500","3,937,882,500",
302920,더콘텐츠온,"14,000","0","0.00","14,500","13,500","237","3,318,000","14,000","14,000","14,000","500",원(KRW),"4,552,359","63,733,026,000",
348840,데이드림엔터,"13,000","0","0.00","14,950","11,050","0","0","0","0","0","500",원(KRW),"842,500","10,952,500,000",
199150,데이터스트림즈,"6,090","90","1.50","6,090","5,850","10,608","63,656,890","6,000","6,300","5,800","500",원(KRW),"4,097,598","24,954,371,820",
227420,도부마스크,"4,800","5","0.10","4,800","4,600","13,123","58,871,015","5,180","5,180","4,400","500",원(KRW),"7,587,936","36,422,092,800",
176750,듀켐바이오,"8,640","-120","1.37","8,650","8,640","1,110","9,583,200","8,990","8,990","8,560","500",원(KRW),"8,858,687","76,539,055,680",
163430,디피코,"4,730","40","0.85","4,790","4,305","3","13,150","4,210","4,730","4,210","500",원(KRW),"4,303,578","20,355,923,940",
232680,라온테크,"11,750","150","1.29","11,850","11,700","5,904","70,180,450","12,200","12,250","11,700","500",원(KRW),"4,371,005","51,359,308,750",
285770,라이프사이언스테크놀로지,"3,195","0","0.00","3,195","3,000","102","325,640","3,195","3,195","3,190","500",원(KRW),"3,193,000","10,201,635,000",
200350,래몽래인,"16,300","-450","2.69","16,500","16,200","503","8,299,650","16,850","16,850","16,300","500",원(KRW),"4,988,519","81,312,859,700",
