,seq,일자2,광역시도,확진자,사망자,전일대비,격리해제,격리중,지역발생,해외유입,10만명당
0,1,2020-03-01,합계,0,18,586,,,,,NULL
1,2,2020-03-01,서울,0,0,10,,,,,NULL
2,3,2020-03-01,부산,0,0,3,,,,,NULL
3,4,2020-03-01,대구,0,9,469,,,,,NULL
4,5,2020-03-01,인천,0,0,0,,,,,NULL
5,6,2020-03-01,광주,0,0,0,,,,,NULL
6,7,2020-03-01,대전,0,0,0,,,,,NULL
7,8,2020-03-01,울산,0,0,3,,,,,NULL
8,9,2020-03-01,세종,0,0,0,,,,,NULL
9,10,2020-03-01,경기,0,1,7,,,,,NULL
10,11,2020-03-01,강원,0,0,8,,,,,NULL
11,12,2020-03-01,충북,0,0,1,,,,,NULL
12,13,2020-03-01,충남,0,0,13,,,,,NULL
13,14,2020-03-01,전북,0,0,1,,,,,NULL
14,15,2020-03-01,전남,0,0,0,,,,,NULL
15,16,2020-03-01,경북,0,8,67,,,,,NULL
16,17,2020-03-01,경남,0,0,4,,,,,NULL
17,18,2020-03-01,제주,0,0,0,,,,,NULL
18,19,2020-03-01,검역,0,0,0,,,,,NULL
19,20,2020-03-04,합계,5328,32,516,,,,,10.3
20,21,2020-03-04,서울,99,0,1,,,,,1
21,22,2020-03-04,부산,93,1,3,,,,,2.7
22,23,2020-03-04,대구,4006,24,405,,,,,164.4
23,24,2020-03-04,인천,9,0,2,,,,,0.3
24,25,2020-03-04,광주,13,0,2,,,,,0.9
25,26,2020-03-04,대전,15,0,1,,,,,1
26,27,2020-03-04,울산,23,0,3,,,,,2
27,28,2020-03-04,세종,1,0,0,,,,,0.3
28,29,2020-03-04,경기,101,1,7,,,,,0.8
29,30,2020-03-04,강원,21,0,1,,,,,1.4
30,31,2020-03-04,충북,11,0,0,,,,,0.7
31,32,2020-03-04,충남,82,0,1,,,,,3.9
32,33,2020-03-04,전북,7,0,0,,,,,0.4
33,34,2020-03-04,전남,5,0,0,,,,,0.3
34,35,2020-03-04,경북,774,6,89,,,,,29.1
