,rowID,등록일,구분,확진자,확진률,치명률,사망자,사망률,수정일
0,6667,2021-02-04,0-9,3062,3.84,0,0,0.00,null
1,6666,2021-02-04,10-19,5331,6.68,0,0,0.00,null
2,6665,2021-02-04,20-29,12156,15.24,0,0,0.00,null
3,6664,2021-02-04,30-39,10183,12.77,0.06,6,0.41,null
4,6663,2021-02-04,40-49,11472,14.38,0.1,12,0.83,null
5,6662,2021-02-04,50-59,14944,18.74,0.31,47,3.25,null
6,6661,2021-02-04,60-69,12504,15.68,1.34,167,11.53,null
7,6660,2021-02-04,70-79,6113,7.66,6.51,398,27.49,null
8,6659,2021-02-04,80 이상,3997,5.01,20.47,818,56.49,null
9,6658,2021-02-04,여성,40590,50.89,1.8,731,50.48,null
10,6657,2021-02-04,남성,39172,49.11,1.83,717,49.52,null
11,6645,2021-02-03,0-9,3035,3.83,0,0,0.00,null
12,6644,2021-02-03,10-19,5304,6.69,0,0,0.00,null
13,6643,2021-02-03,20-29,12106,15.26,0,0,0.00,null
14,6642,2021-02-03,30-39,10119,12.76,0.06,6,0.42,null
15,6641,2021-02-03,40-49,11396,14.37,0.11,12,0.83,null
16,6640,2021-02-03,50-59,14869,18.75,0.32,47,3.26,null
17,6639,2021-02-03,60-69,12435,15.68,1.34,167,11.59,null
18,6638,2021-02-03,70-79,6076,7.66,6.53,397,27.55,null
19,6637,2021-02-03,80 이상,3971,5.01,20.45,812,56.35,null
20,6636,2021-02-03,여성,40350,50.88,1.8,728,50.52,null
21,6635,2021-02-03,남성,38961,49.12,1.83,713,49.48,null
22,6612,2021-02-02,0-9,3013,3.82,0,0,0.00,null
23,6611,2021-02-02,10-19,5263,6.68,0,0,0.00,null
24,6610,2021-02-02,20-29,12031,15.26,0,0,0.00,null
25,6609,2021-02-02,30-39,10055,12.75,0.06,6,0.42,null
26,6608,2021-02-02,40-49,11304,14.34,0.11,12,0.84,null
27,6607,2021-02-02,50-59,14799,18.77,0.32,47,3.28,null
28,6606,2021-02-02,60-69,12373,15.69,1.35,167,11.64,null
29,6605,2021-02-02,70-79,6047,7.67,6.52,394,27.46,null
30,6604,2021-02-02,80 이상,3959,5.02,20.43,809,56.38,null
31,6603,2021-02-02,여성,40135,50.9,1.81,726,50.59,null
32,6602,2021-02-02,남성,38709,49.1,1.83,709,49.41,null
33,6601,2021-02-01,0-9,3004,3.83,0,0,0.00,null
34,6600,2021-02-01,10-19,5233,6.67,0,0,0.00,null
35,6599,2021-02-01,20-29,11981,15.26,0,0,0.00,null
36,6598,2021-02-01,30-39,10018,12.76,0.06,6,0.42,null
37,6597,2021-02-01,40-49,11252,14.33,0.09,10,0.70,null
38,6596,2021-02-01,50-59,14729,18.76,0.32,47,3.30,null
39,6595,2021-02-01,60-69,12318,15.69,1.36,167,11.72,null
