일자2,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,21.0,101.0,65.0,774.0,13.0,4006.0,15.0,93.0,99.0,1.0,23.0,9.0,5.0,7.0,3.0,82.0,11.0,5328.0
2020-03-05,2.0,9.0,9.0,87.0,1.0,321.0,1.0,-1.0,4.0,0.0,0.0,0.0,-1.0,0.0,1.0,4.0,1.0,438.0
2020-03-06,2.0,10.0,3.0,123.0,-1.0,367.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,518.0
2020-03-07,1.0,10.0,5.0,65.0,0.0,390.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,483.0
2020-03-08,1.0,11.0,1.0,32.0,0.0,297.0,0.0,1.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,367.0
2020-03-09,1.0,11.0,0.0,26.0,2.0,190.0,1.0,-1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,248.0
2020-03-10,0.0,11.0,0.0,10.0,0.0,92.0,-1.0,0.0,11.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,131.0
2020-03-11,1.0,12.0,1.0,18.0,0.0,131.0,0.0,2.0,52.0,2.0,1.0,12.0,0.0,0.0,0.0,8.0,2.0,242.0
2020-03-12,0.0,3.0,1.0,8.0,0.0,73.0,2.0,1.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,114.0
2020-03-13,0.0,7.0,0.0,4.0,0.0,61.0,2.0,1.0,13.0,17.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,110.0
2020-03-14,0.0,15.0,0.0,6.0,0.0,62.0,0.0,3.0,13.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,107.0
2020-03-15,0.0,11.0,0.0,4.0,1.0,41.0,0.0,3.0,9.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,76.0
2020-03-16,0.0,20.0,0.0,7.0,0.0,35.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0
2020-03-17,0.0,31.0,1.0,5.0,0.0,32.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.0
2020-03-18,1.0,15.0,0.0,9.0,1.0,46.0,0.0,0.0,5.0,1.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,93.0
2020-03-19,0.0,18.0,0.0,12.0,0.0,97.0,0.0,0.0,12.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,152.0
2020-03-20,0.0,14.0,1.0,13.0,1.0,34.0,0.0,1.0,17.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,87.0
2020-03-21,0.0,12.0,0.0,40.0,0.0,69.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,147.0
2020-03-22,0.0,16.0,1.0,11.0,1.0,43.0,2.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,98.0
2020-03-23,0.0,14.0,1.0,2.0,0.0,24.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0
2020-03-24,0.0,15.0,1.0,1.0,0.0,31.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,76.0
2020-03-25,1.0,21.0,0.0,5.0,0.0,14.0,0.0,1.0,13.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0,0.0,100.0
2020-03-26,0.0,14.0,0.0,12.0,0.0,26.0,6.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,104.0
