,ID,버거킹,맥도날드,KFC,롯데리아,맘스터치,버거지수,y,x
0,홍천,4,3,0,3,1,1.75,2,8
1,강릉,1,5,0,5,4,0.6666666666666666,3,11
2,영월,0,0,0,0,0,0.0,7,10
3,원주,1,13,0,13,4,0.8235294117647058,5,10
4,삼척,0,0,0,0,1,0.0,5,11
5,춘천,3,5,4,5,1,2.0,1,9
6,태백,0,1,0,1,0,1.0,4,10
7,철원,0,0,0,0,1,0.0,0,7
8,화천,0,2,0,2,3,0.4,0,8
9,동해,0,0,1,0,0,0.0,4,11
10,속초,1,6,0,6,1,1.0,1,10
11,정선,0,1,0,1,0,1.0,3,10
12,평창,0,1,0,1,2,0.3333333333333333,6,10
13,인제,0,2,0,2,1,0.6666666666666666,1,8
14,횡성,0,1,1,1,0,2.0,2,9
15,양구,0,1,0,1,0,1.0,0,9
16,양양,0,2,0,2,0,1.0,2,10
17,고성(강원),0,1,0,1,0,1.0,0,10
18,수원 장안,1,5,0,5,1,1.0,10,6
19,고양 덕양,3,9,2,9,2,1.2727272727272727,3,4
20,안양 동안,3,9,2,9,1,1.4,5,3
21,파주,3,12,0,12,5,0.8823529411764706,2,3
22,연천,0,1,0,1,1,0.5,1,5
23,부천,7,5,3,5,4,1.6666666666666667,5,2
24,용인 수지,4,5,1,5,2,1.4285714285714286,8,9
25,의정부,9,11,1,11,1,1.75,1,7
26,안산 단원,3,10,0,10,1,1.1818181818181819,8,3
27,고양 일산동,7,5,2,5,0,2.8,2,4
28,성남 수정,3,2,0,2,0,2.5,8,8
29,평택,6,18,1,18,2,1.25,11,4
30,안양 만안,0,9,3,9,0,1.3333333333333333,4,3
31,군포,1,5,0,5,0,1.2,9,5
32,시흥,3,15,2,15,5,1.0,6,3
33,고양 일산서,2,9,2,9,2,1.1818181818181819,3,3
34,화성,5,18,1,18,3,1.1428571428571428,9,3
35,오산,4,5,0,5,0,1.8,10,3
36,용인 기흥,1,5,2,5,1,1.3333333333333333,9,8
37,수원 팔달,5,8,6,8,0,2.375,11,6
38,성남 분당,13,6,7,6,4,2.6,8,7
39,이천,2,8,2,8,0,1.5,6,9
40,포천,1,3,1,3,2,1.0,1,6
41,용인 처인,0,10,1,10,2,0.9166666666666666,9,9
42,성남 중원,0,4,0,4,3,0.5714285714285714,7,8
43,양주,0,3,0,3,4,0.42857142857142855,1,3
44,동두천,2,1,0,1,1,1.5,1,4
45,가평,0,4,0,4,1,0.8,3,7
46,수원 영통,5,7,3,7,0,2.142857142857143,9,7
47,여주,1,7,0,7,1,1.0,5,9
48,남양주,4,4,2,4,10,0.7142857142857143,2,7
49,하남,2,5,2,5,2,1.2857142857142858,3,9
50,수원 권선,2,7,3,7,0,1.7142857142857142,10,5
51,안산 상록,1,11,1,11,2,1.0,7,3
52,광주,1,6,0,6,3,0.7777777777777778,7,9
53,김포,4,8,5,8,3,1.5454545454545454,4,2
54,광명,1,1,1,1,0,3.0,4,4
55,의왕,0,3,1,3,0,1.3333333333333333,9,6
56,안성,0,10,0,10,0,1.0,10,4
57,양평,1,5,0,5,0,1.2,4,9
58,구리,1,2,3,2,0,3.0,3,8
59,과천,0,1,0,1,0,1.0,7,7
60,창원 성산,1,4,1,4,0,1.5,20,7
61,김해,3,10,4,10,1,1.5454545454545454,20,9
62,진주,2,11,1,11,4,0.9333333333333333,18,6
63,창원 진해,1,5,0,5,1,1.0,20,8
64,고성(경남),0,3,0,3,0,1.0,22,7
65,거제,4,4,0,4,2,1.3333333333333333,22,8
66,양산,2,5,2,5,5,0.9,19,7
67,산청,0,1,0,1,0,1.0,19,5
68,창원 의창,2,6,0,6,3,0.8888888888888888,20,6
69,창원 회원,3,8,1,8,1,1.3333333333333333,21,7
70,창원 합포,1,1,0,1,2,0.6666666666666666,19,8
71,함안,0,0,0,0,0,0.0,19,6
72,통영,0,0,0,0,0,0.0,21,8
73,의령,0,1,0,1,1,0.5,18,7
74,합천,0,0,0,0,0,0.0,16,7
75,함양,0,0,0,0,0,0.0,17,6
76,사천,1,3,0,3,1,1.0,21,6
77,하동,0,1,0,1,0,1.0,20,5
78,창녕,0,2,0,2,0,1.0,17,7
79,거창,0,2,0,2,0,1.0,16,6
80,밀양,0,0,0,0,0,0.0,17,8
81,남해,0,1,0,1,1,0.5,22,6
82,구미,6,8,1,8,1,1.6666666666666667,10,10
83,영덕,0,0,0,0,0,0.0,7,11
84,상주,1,2,0,2,0,1.5,11,8
85,김천,1,3,0,3,2,0.8,11,9
86,경산,4,8,2,8,3,1.2727272727272727,12,11
87,안동,2,5,0,5,0,1.4,9,10
88,포항 남구,4,2,1,2,2,1.75,11,12
89,경주,1,8,1,8,3,0.9090909090909091,12,12
90,포항 북구,2,5,2,5,2,1.2857142857142858,10,12
91,군위,0,0,0,0,0,0.0,11,10
92,영주,1,3,0,3,0,1.3333333333333333,10,9
93,영천,0,2,0,2,0,1.0,12,10
94,울진,0,2,0,2,1,0.6666666666666666,6,11
95,봉화,0,3,0,3,0,1.0,8,11
96,칠곡,0,0,0,0,0,0.0,12,9
97,청송,0,0,0,0,0,0.0,10,11
98,청도,0,1,0,1,0,1.0,13,10
99,고령,0,1,0,1,0,1.0,13,9
100,문경,0,3,0,3,0,1.0,8,10
101,의성,0,1,0,1,0,1.0,11,11
102,성주,0,1,0,1,0,1.0,13,11
103,영양,0,0,0,0,0,0.0,9,11
104,예천,0,0,0,0,1,0.0,10,8
105,울릉,0,1,0,1,0,1.0,8,13
106,광주 광산,3,10,1,10,1,1.2727272727272727,21,2
107,광주 남구,0,9,1,9,0,1.1111111111111112,23,2
108,광주 북구,4,5,2,5,0,2.2,22,3
109,광주 서구,3,13,4,13,1,1.4285714285714286,22,2
110,광주 동구,2,3,0,3,0,1.6666666666666667,23,3
111,대구 달서,3,7,3,7,2,1.4444444444444444,16,8
112,대구 중구,6,7,5,7,0,2.5714285714285716,14,9
113,대구 수성,6,10,2,10,1,1.6363636363636365,14,10
114,대구 북구,5,7,3,7,0,2.142857142857143,14,8
115,대구 달성,2,5,0,5,0,1.4,16,9
116,대구 동구,3,10,0,10,2,1.0833333333333333,15,10
117,대구 남구,1,1,2,1,2,1.3333333333333333,15,9
118,대구 서구,1,5,1,5,1,1.1666666666666667,15,8
119,대전 서구,11,11,5,11,3,1.9285714285714286,16,4
120,대전 대덕,0,7,0,7,1,0.875,13,5
121,대전 유성,3,11,2,11,1,1.3333333333333333,15,4
122,대전 동구,2,9,0,9,1,1.1,14,5
123,대전 중구,5,8,3,8,3,1.4545454545454546,15,5
124,부산 사상,1,3,1,3,1,1.25,18,9
125,부산 중구,2,2,2,2,2,1.5,18,11
126,부산 해운대,7,12,0,12,3,1.2666666666666666,17,12
127,부산 동구,0,2,0,2,0,1.0,18,10
128,부산 강서,0,4,0,4,1,0.8,18,8
129,부산 북구,0,6,1,6,1,1.0,17,9
130,부산 남구,3,3,0,3,2,1.2,19,11
131,부산 동래,2,5,0,5,2,1.0,16,11
132,부산 사하,0,4,1,4,1,1.0,19,10
133,부산 금정,2,4,1,4,2,1.1666666666666667,16,10
134,부산 서구,0,1,0,1,1,0.5,19,9
135,부산 수영,0,3,0,3,2,0.6,20,11
