,광역시도,시도,20~39세여자,20~39세합계,65세이상합계,인구수남자,인구수여자,인구수합계,소멸비율,소멸위기지역,ID,y,x,여성비,2030여성비
0,강원, 강릉시,20993,46008,40497,101154,101903,203057,1.036768155665852,0,강릉,3,11,0.18443097258404872,-4.370978960180838
1,강원, 고성군,1699,4006,7005,11933,11688,23621,0.48508208422555316,1,고성(강원),0,10,-0.5186063248804051,-7.588617074388415
2,강원, 동해시,7510,16311,16152,42093,41795,83888,0.9299157999009411,1,동해,4,11,-0.17761777608239493,-3.9574520262399604
3,강원, 삼척시,5280,12428,14953,31630,30203,61833,0.7062128001070019,1,삼척,5,11,-1.1539145763588998,-7.515288059221115
4,강원, 속초시,7411,15928,14010,37488,38814,76302,1.0579586009992863,0,속초,1,10,0.8689156247542629,-3.471873430436967
5,강원, 양구군,2016,4656,4123,10272,9628,19900,0.9779286926994907,1,양구,0,9,-1.618090452261306,-6.70103092783505
6,강원, 양양군,1810,4020,7405,12599,12526,25125,0.4888588791357191,1,양양,2,10,-0.14527363184079767,-4.975124378109452
7,강원, 영월군,2227,4983,10051,17530,16812,34342,0.4431399860710377,1,영월,7,10,-1.0453671888649485,-5.308047361027496
8,강원, 원주시,40779,83196,46837,163155,166719,329874,1.7413156265345773,0,원주,5,10,0.540206260572218,-0.984422327996537
9,강원, 인제군,2739,6320,5793,14807,13412,28219,0.9456240290005179,1,인제,1,8,-2.4717388993231504,-6.661392405063293
10,강원, 정선군,2222,5007,8810,16876,15852,32728,0.5044267877412032,1,정선,3,10,-1.564409679784895,-5.6221290193728795
11,강원, 철원군,3767,8373,9045,20255,19892,40147,0.8329463792150359,1,철원,0,7,-0.4520885744887515,-5.010151678012659
12,강원, 춘천시,32994,66567,44624,129655,136040,265695,1.4787558264610972,0,춘천,1,9,1.2015657050377326,-0.43490017576276463
13,강원, 태백시,3211,6857,9412,20307,20160,40467,0.6823204419889503,1,태백,4,10,-0.18162947586922717,-3.171941082105878
14,강원, 평창군,2544,5597,10304,19034,18590,37624,0.4937888198757764,1,평창,6,10,-0.5900489049542823,-4.5470787922101135
15,강원, 홍천군,4987,10966,15824,31608,30923,62531,0.6303083923154702,1,홍천,2,8,-0.54772832674993,-4.523071311325916
16,강원, 화천군,2166,5189,4863,11302,10398,21700,0.8908081431215299,1,화천,0,8,-2.0829493087557607,-8.257853150896127
17,강원, 횡성군,3045,6502,11883,20919,20508,41427,0.5124968442312547,1,횡성,2,9,-0.49605329857339564,-3.168255921254998
18,경기, 가평군,4848,10406,13649,27803,27446,55249,0.7103817129460034,1,가평,3,7,-0.32308277072888303,-3.4114933692100724
19,경기, 과천시,6605,13196,7335,25565,26824,52389,1.8009543285616905,0,과천,7,7,1.2015881196434375,0.053046377690213475
20,경기, 광명시,39850,79498,39032,146975,153760,300735,2.0419143267062925,0,광명,4,4,1.1280695629042214,0.12704722131374746
21,경기, 광주시,46955,95920,43492,177168,173238,350406,2.1592476777338363,0,광주,7,9,-0.5607780688686836,-1.0477481234361985
22,경기, 구리시,25537,50331,23685,91954,95671,187625,2.1563858982478363,0,구리,3,8,0.9905396402398403,0.7381136873894856
23,경기, 군포시,35603,71824,31741,128228,132895,261123,2.2433445701143633,0,군포,9,5,0.8936401619160317,-0.4302183114279323
24,경기, 김포시,55346,107755,49106,203616,206800,410416,2.2541440964444264,0,김포,4,2,0.3878991072472804,1.3628137905433602
25,경기, 남양주시,81508,158873,86857,324619,333791,658410,1.8768320342632143,0,남양주,2,7,0.696526480460502,1.303871645905852
26,경기, 동두천시,9706,19995,16535,43473,44316,87789,1.1739945570003023,0,동두천,1,4,0.4801284899019209,-1.4578644661165319
27,경기, 부천시,112536,225145,97382,388300,401532,789832,2.311227947670001,0,부천,5,2,0.8376464868478317,-0.016211774634122822
28,경기, 시흥시,62272,130804,38348,232951,218215,451166,3.247731302805883,0,시흥,6,3,-1.6331017851522522,-2.3928931836946887
29,경기, 안성시,20391,43275,28371,88473,85550,174023,1.4374537379718726,0,안성,10,4,-0.8398315165236758,-2.8804159445407262
30,경기, 양주시,24354,49259,30411,103990,103744,207734,1.6016572950577095,0,양주,1,3,-0.05921033629545658,-0.5592886579102285
31,경기, 양평군,9046,18583,25713,52233,52823,105056,0.703612958425699,1,양평,4,9,0.28080261955528707,-1.32109993004359
32,경기, 여주시,10328,21655,20924,51516,50560,102076,0.9871917415408143,1,여주,5,9,-0.4682785375602516,-2.3066266451165998
33,경기, 연천군,3506,8293,10094,20488,19189,39677,0.6946701010501288,1,연천,1,5,-1.636968520805504,-7.723381164837817
34,경기, 오산시,31630,66228,19071,110191,105448,215639,3.3170782864034396,0,오산,10,3,-1.0997546825945226,-2.240744096152686
35,경기, 의왕시,19807,40279,19547,74450,76223,150673,2.0266025477055303,0,의왕,9,6,0.5883602237959029,-0.8254921919610692
36,경기, 의정부시,56859,112160,60671,207441,217658,425099,1.8743386461406604,0,의정부,1,7,1.2017200699131259,0.6945435092724717
37,경기, 이천시,25107,52726,27195,101752,98618,200370,1.846442360728075,0,이천,6,9,-0.782053201577082,-2.38212646512157
38,경기, 파주시,53801,108645,55828,209760,210828,420588,1.9273841083327363,0,파주,2,3,0.12696510599446986,-0.4800036817156794
39,경기, 평택시,62961,133390,56414,243253,233776,477029,2.2321055057255292,0,평택,11,4,-0.9933358349282773,-2.7993102931254232
40,경기, 포천시,13697,29729,24626,70116,65663,135779,1.1124015268415497,0,포천,1,6,-1.6397970231037173,-3.927141848027177
41,경기, 하남시,36174,71746,31299,126779,127749,254528,2.3115115498897727,0,하남,3,9,0.1905487804878092,0.41953558386530476
42,경기, 화성시,111668,229274,64048,393408,375548,768956,3.4870097426929805,0,화성,9,3,-1.1613148216542968,-1.2949571255353842
43,경기,권선구,53806,109106,36968,178020,178658,356678,2.910950010820169,0,수원 권선,10,5,0.08943641043182016,-0.6846552893516378
44,경기,기흥구,53670,104472,49705,200436,208177,408613,2.159541293632431,0,용인 기흥,9,8,0.9472287959511827,1.372616586262343
45,경기,단원구,40558,84580,27101,148143,144023,292166,2.993099885613077,0,안산 단원,8,3,-0.7050786196888092,-2.047765429179477
46,경기,덕양구,58376,115693,60361,212696,221800,434496,1.934229055184639,0,고양 덕양,3,4,1.0476506112829576,0.45767678251925625
47,경기,동안구,42071,83368,33709,148374,156802,305176,2.496128630336112,0,안양 동안,5,3,1.3808425302120786,0.46420688993378256
48,경기,만안구,32133,65727,34077,115363,117607,232970,1.8859054494233647,0,안양 만안,4,3,0.48160707387217006,-1.1114154000639032
49,경기,분당구,63839,121818,54830,216999,233950,450949,2.328615721320445,0,성남 분당,8,7,1.879480828208957,2.4052274704887577
50,경기,상록구,45514,94432,34801,165899,163934,329833,2.615671963449326,0,안산 상록,7,3,-0.29787801705711825,-1.8023551338529287
51,경기,수정구,31237,64575,33149,110653,110743,221396,1.8846420706506983,0,성남 수정,8,8,0.020325570471013688,-1.6267905536198224
52,경기,수지구,45783,87093,44174,166498,176902,343400,2.072848281794721,0,용인 수지,8,9,1.5148514851485162,2.567944610933137
53,경기,영통구,56846,114114,23901,174245,175263,349508,4.756788418894607,0,수원 영통,9,7,0.14563329022511118,-0.18490281648176343
54,경기,일산동구,38009,72176,32677,131746,142446,274192,2.3263457477736633,0,고양 일산동,2,4,1.9511874890587588,2.6615495455553084
55,경기,일산서구,35939,68555,33499,134373,145939,280312,2.1456759903280695,0,고양 일산서,3,3,2.0630583064585206,2.423601487856464
56,경기,장안구,34506,71455,32574,130792,132165,262957,2.118622214035734,0,수원 장안,10,6,0.2610693003038511,-1.7094674970261015
57,경기,중원구,28801,59573,30171,104312,104202,208514,1.9091843160650956,0,성남 중원,7,8,-0.026377125756543718,-1.6542729088681096
58,경기,처인구,30645,63708,31962,120595,117156,237751,1.9175896376947625,0,용인 처인,9,9,-0.7232356541087115,-1.8977208513844435
59,경기,팔달구,24039,49683,23997,82671,83544,166215,2.0035004375546945,0,수원 팔달,11,6,0.26261167764641824,-1.615240625566089
60,경남, 거제시,27750,58101,23216,120346,112239,232585,2.390592694693315,0,거제,22,8,-1.742803706171936,-2.2383435741209268
61,경남, 거창군,4421,9445,15425,27277,29126,56403,0.57322528363047,1,거창,16,6,1.6390972111412494,-3.1921651667548954
62,경남, 고성군,3285,7352,14272,23118,23720,46838,0.4603419282511211,1,고성(경남),22,7,0.6426405909731425,-5.3182807399347105
63,경남, 김해시,63358,129227,52747,254664,254750,509414,2.4023356778584564,0,김해,20,9,0.008441071505693731,-0.971546193906847
64,경남, 남해군,2145,4833,14868,18754,20483,39237,0.2885391444713479,1,남해,22,6,2.2032775186686004,-5.6176288019863465
65,경남, 밀양시,7788,16579,26056,46631,49576,96207,0.5977893767270495,1,밀양,17,8,1.5305539097986598,-3.024911032028471
66,경남, 사천시,9440,20869,21648,51358,51701,103059,0.8721359940872137,1,사천,21,6,0.1664095324037662,-4.76544156404236
67,경남, 산청군,1858,3993,11163,15203,16108,31311,0.33288542506494667,1,산청,19,5,1.4451790105713624,-3.4685699974956186
68,경남, 양산시,42376,85945,41056,163340,166381,329721,2.064302416212003,0,양산,19,7,0.4611474549695016,-0.6940485194019408
69,경남, 의령군,1579,3323,8713,11453,12458,23911,0.3624469183977964,1,의령,18,7,2.1015432227844966,-2.4826963587120057
70,경남, 진주시,39596,81837,52845,163346,168862,332208,1.4985712934052418,0,진주,18,6,0.8302027645330612,-1.6160172049317523
71,경남, 창녕군,4282,9435,16795,27648,28533,56181,0.5099136647811848,1,창녕,17,7,0.7876328296043122,-4.6157922628510875
72,경남, 통영시,11797,24459,22350,60826,61336,122162,1.0556599552572707,0,통영,21,8,0.20873921514055205,-1.7682652602314053
73,경남, 하동군,2433,5499,13811,19901,20843,40744,0.3523278546086453,1,하동,20,5,1.155998429216576,-5.755591925804692
74,경남, 함안군,5216,10996,13955,29988,30091,60079,0.747545682551057,1,함안,19,6,0.08572046805039868,-2.5645689341578737
75,경남, 함양군,2274,4844,11805,16980,18516,35496,0.3852604828462516,1,함양,17,6,2.1636240703177823,-3.0553261767134576
76,경남, 합천군,2298,5071,15547,19085,21000,40085,0.29561973371068373,1,합천,16,7,2.3886740676063334,-4.6834943798067465
77,경남,마산합포구,18743,39662,32949,83102,85270,168372,1.137697653950044,0,창원 합포,19,8,0.6438125103936487,-2.743179869900658
78,경남,마산회원구,20180,42074,29609,91161,92356,183517,1.3630990577189368,0,창원 회원,21,7,0.32558291602412526,-2.0368873888862495
79,경남,성산구,27247,56762,15873,104555,103378,207933,3.4331254331254333,0,창원 성산,20,7,-0.2830238586467748,-1.9978154399069803
80,경남,의창구,30864,65290,28161,122271,120450,242721,2.1919676147864067,0,창원 의창,20,6,-0.3751220537159927,-2.727829682952981
81,경남,진해구,21823,45710,24374,92993,90590,183583,1.7906785919422334,0,창원 진해,20,8,-0.6544723639988426,-2.2577116604681704
82,경북, 경산시,32956,70122,39828,127793,128146,255939,1.6549161393994174,0,경산,12,11,0.06896174479075201,-3.0019109551923773
83,경북, 경주시,23620,51111,50746,119114,120268,239382,0.9309108107042919,1,경주,12,12,0.2410373378115338,-3.786856058382737
84,경북, 고령군,2074,4501,8819,14552,14467,29019,0.4703481120308425,1,고령,13,9,-0.14645577035735102,-3.9213508109309068
85,경북, 구미시,54585,116063,35323,201545,194793,396338,3.090620841944342,0,구미,10,10,-0.8517982126366896,-2.9695079396534654
86,경북, 군위군,1141,2621,8360,10491,10370,20861,0.27296650717703347,1,군위,11,10,-0.29001486026556944,-6.4669973292636405
87,경북, 김천시,13073,27713,29105,63978,65687,129665,0.8983336196529806,1,김천,11,9,0.6590058998187653,-2.827193014108903
88,경북, 문경시,4766,10167,19266,31547,33285,64832,0.49475760406934494,1,문경,8,10,1.3403874629812407,-3.122848431198977
89,경북, 봉화군,1684,3568,10308,14309,14548,28857,0.32673651532790066,1,봉화,8,11,0.4141109609453464,-2.802690582959644
90,경북, 상주시,6635,14788,27712,44325,46502,90827,0.4788539260969977,1,상주,11,8,1.198432184262388,-5.132539897213956
91,경북, 성주군,2663,6021,11890,19264,18742,38006,0.4479394449116905,1,성주,13,11,-0.6867336736304797,-5.771466533798375
92,경북, 안동시,14428,30402,34890,73525,75365,148890,0.8270564631699627,1,안동,9,10,0.6179058365236134,-2.5425958818498797
93,경북, 영덕군,2086,4489,12502,15906,17809,33715,0.3337066069428891,1,영덕,7,11,2.822185970636215,-3.5308531967030543
94,경북, 영양군,879,1865,5674,7531,7741,15272,0.3098343320408883,1,영양,9,11,0.687532739654273,-2.8686327077747986
95,경북, 영주시,7880,17125,25317,47843,49466,97309,0.6225066161077537,1,영주,10,9,0.8339413620528369,-3.9854014598540157
96,경북, 영천시,7971,17393,25552,46027,46704,92731,0.6239041953663118,1,영천,12,10,0.36503434665861034,-4.171218306215146
97,경북, 예천군,4179,8502,15336,24733,26009,50742,0.5449921752738655,1,예천,10,8,1.2573410586890543,-0.8468595624558928
98,경북, 울릉군,632,1506,1972,4436,3764,8200,0.640973630831643,1,울릉,8,13,-4.097560975609754,-8.034528552456838
99,경북, 울진군,3309,7500,12405,22032,22240,44272,0.5334945586457074,1,울진,6,11,0.23491145645102574,-5.880000000000002
100,경북, 의성군,2597,5802,19316,22823,24310,47133,0.26889625181196936,1,의성,11,11,1.5774510427937982,-5.2395725611857955
101,경북, 청도군,2271,5033,14261,18446,19772,38218,0.3184909894116822,1,청도,13,10,1.73478465644461,-4.877806477250152
102,경북, 청송군,1324,3120,8408,11451,11580,23031,0.3149381541389153,1,청송,10,11,0.28005731405497114,-7.564102564102565
103,경북, 칠곡군,12373,26524,15881,55417,52837,108254,1.558214218248221,0,칠곡,12,9,-1.1916418792839056,-3.351681496003617
104,경북,남구,22812,49270,35726,112611,108532,221143,1.2770531265744836,0,포항 남구,11,12,-0.9222539261925566,-3.7000202963263673
105,경북,북구,27263,56621,41106,125439,129425,254864,1.3264730209701747,0,포항 북구,10,12,0.7819856864837771,-1.8500203104855062
106,광주, 광산구,54745,108402,33965,195701,196933,392634,3.2236125423229796,0,광주 광산,21,2,0.1568891130161898,0.5018357594878342
107,광주, 남구,26643,52095,34372,100399,108734,209133,1.5502734784126615,0,광주 남구,23,2,1.9927510244676871,1.1431039447163838
108,광주, 동구,13001,26870,19994,47381,48357,95738,1.3004901470441133,0,광주 동구,23,3,0.5097244563287306,-1.6151842203200595
109,광주, 북구,56938,115023,58933,208100,214164,422264,1.9322959971493052,0,광주 북구,22,3,0.7180342155618247,-0.49859593298731686
110,광주, 서구,39602,77733,38366,141373,148608,289981,2.064432049210238,0,광주 서구,22,2,1.2474955255689202,0.9461875908558737
111,대구, 남구,18059,36403,31219,67453,73563,141016,1.1569236682789328,0,대구 남구,15,9,2.1664208316786726,-0.39145125401752745
112,대구, 달서구,69705,142081,72740,269246,280734,549980,1.9165521033819082,0,대구 달서,16,8,1.0444016146041624,-0.9399567852140689
113,대구, 달성군,33012,68262,27906,122037,120963,243000,2.36594280799828,0,대구 달성,16,9,-0.22098765432098655,-1.6392722158741324
114,대구, 동구,39988,82204,60517,160082,167925,328007,1.3215460118644349,0,대구 동구,15,10,1.195553753425993,-1.3551651987737834
115,대구, 북구,54402,113047,56992,210525,214808,425333,1.9091100505334082,0,대구 북구,14,8,0.5034878553980104,-1.8766530735004006
116,대구, 서구,18019,39397,34817,83008,84438,167446,1.0350690754516472,0,대구 서구,15,8,0.42700333241761923,-4.263014950376931
117,대구, 수성구,44780,88787,60804,195256,209978,405234,1.4729294125386487,0,대구 수성,14,10,1.8164813416445824,0.4353114757791099
118,대구, 중구,10915,21428,14236,34690,37793,72483,1.5334363585276762,0,대구 중구,14,9,2.14050191079288,0.9380250140003765
119,대전, 대덕구,20568,43677,24547,85844,84978,170822,1.6758055974253472,0,대전 대덕,13,5,-0.2534802308836126,-2.9088536300570067
120,대전, 동구,28471,59947,37784,111143,110812,221955,1.5070400169383866,0,대전 동구,14,5,-0.07456466400846962,-2.5063806362286667
121,대전, 서구,67755,134767,54211,226805,236942,463747,2.499677187286713,0,대전 서구,16,4,1.0929450756554715,0.27566095557517434
122,대전, 유성구,49545,103746,29084,170005,166349,336354,3.4070279191307935,0,대전 유성,15,4,-0.5434750292846235,-2.2439419351107492
123,대전, 중구,27469,54807,41168,110975,116206,227181,1.3344830936649825,0,대전 중구,15,5,1.1512846584881609,0.11951028153338594
124,부산, 강서구,17626,35490,13407,61117,59334,120451,2.629372715745506,0,부산 강서,18,8,-0.7401349926526135,-0.3353057199211029
125,부산, 금정구,28544,59601,43238,111149,116961,228110,1.3203200888107682,0,부산 금정,16,10,1.2739467800622517,-2.108186104259996
126,부산, 기장군,18881,37473,22967,75833,78699,154532,1.644185135193974,0,부산 기장,16,12,0.9273160251598411,0.3856109732340629
127,부산, 남구,32292,65648,48766,127898,135086,262984,1.324365336504942,0,부산 남구,19,11,1.366623064521033,-0.8103826468437714
128,부산, 동구,9163,18886,20349,39342,41747,81089,0.9005847953216374,1,부산 동구,18,10,1.4829384996732031,-1.4825796886582643
129,부산, 동래구,30706,61364,43883,123015,131537,254552,1.399448533600711,0,부산 동래,16,11,1.6739212420252003,0.03911087934294066
130,부산, 부산진구,47780,93807,62545,162539,176684,339223,1.5278599408425932,0,부산 부산진,17,10,2.0849116952565083,0.9343652392678536
131,부산, 북구,33946,69489,42923,135427,141076,276503,1.5817160962654055,0,부산 북구,17,9,1.021507904073371,-1.1491027356847872
132,부산, 사상구,26362,54928,33971,104170,104881,209051,1.5520296723676077,0,부산 사상,18,9,0.17005419730113935,-2.0062627439557223
133,부산, 사하구,37266,77401,51920,150249,154497,304746,1.4355161787365178,0,부산 사하,19,10,0.6969738733240138,-1.8533352282270266
134,부산, 서구,11902,23642,23618,48104,51997,100101,1.0078753493098485,0,부산 서구,19,9,1.9445360186211902,0.34261060823956857
135,부산, 수영구,22650,44258,33380,77880,86904,164784,1.3571000599161174,0,부산 수영,20,11,2.7381299155257777,1.177188304939225
136,부산, 연제구,25805,50757,35307,94732,103253,197985,1.4617497946582831,0,부산 연제,17,11,2.151930701820848,0.8402781882301924
137,부산, 영도구,10617,22954,27636,53656,55802,109458,0.7683456361267912,1,부산 영도,20,10,0.9802846754006111,-3.7466236821469048
138,부산, 중구,4458,9289,9567,18759,19807,38566,0.9319535904672311,1,부산 중구,18,11,1.3587097443343854,-2.0077511034557016
139,부산, 해운대구,45139,88245,61986,181834,198152,379986,1.4564256445003712,0,부산 해운대,17,12,2.1471843699504722,1.151906623604737
140,서울, 강남구,76930,140926,65713,234001,259491,493492,2.3413936359624428,0,서울 강남,8,6,2.5826153210183778,4.588933198983868
141,서울, 강동구,58315,114312,59133,196902,206541,403443,1.9723335531767372,0,서울 강동,5,8,1.1945925446717354,1.013891804884881
142,서울, 강북구,39639,78369,56516,141759,152384,294143,1.4027532026328828,0,서울 강북,3,5,1.8060943146700703,0.5799487042070228
143,서울, 강서구,92400,177038,79180,268057,291302,559359,2.3339227077544833,0,서울 강서,6,4,2.0778247958824325,2.1921847287023177
144,서울, 관악구,91377,186005,70663,234870,237926,472796,2.586275702984589,0,서울 관악,7,5,0.3231837832807338,-0.8739012392139978
145,서울, 광진구,59479,113351,44612,159187,172560,331747,2.666502286380346,0,서울 광진,6,7,2.0155419642076677,2.4732909281788396
146,서울, 구로구,57708,112888,61715,188979,197260,386239,1.8701450214696589,0,서울 구로,9,4,1.0720046396143323,1.119693855857129
147,서울, 금천구,32331,67481,34691,110152,109744,219896,1.8639416563373785,0,서울 금천,8,5,-0.09277112816967747,-2.0887360886768125
148,서울, 노원구,66657,131084,76136,241951,263016,504967,1.7509982137228117,0,서울 노원,2,6,2.0857798628425184,0.8505996155137141
149,서울, 도봉구,41366,81619,55474,152106,162926,315032,1.4913653242960667,0,서울 도봉,2,5,1.7172858630234433,0.6818265354880615
150,서울, 동대문구,51838,103780,54777,160582,167315,327897,1.8926921883272176,0,서울 동대문,4,7,1.0266943582893373,-0.050105993447679964
151,서울, 동작구,63236,123540,58255,180291,194187,374478,2.1710067805338595,0,서울 동작,6,5,1.8553826927082517,1.1866601910312413
152,서울, 마포구,64500,118571,47926,163126,185629,348755,2.6916496265075325,0,서울 마포,5,5,3.2261903055153307,4.3977869799529445
153,서울, 서대문구,47970,90833,47748,137971,153987,291958,2.009298818798693,0,서울 서대문,4,5,2.7428602744230313,2.811202976891658
154,서울, 서초구,58717,108033,52440,185921,205599,391520,2.239397406559878,0,서울 서초,7,6,2.513026154474862,4.35098534706988
155,서울, 성동구,47313,91871,40757,137125,146205,283330,2.3217116078219693,0,서울 성동,5,7,1.602371792609325,1.4993850072384074
156,서울, 성북구,64579,123727,65389,200642,217761,418403,1.975225190781324,0,서울 성북,3,6,2.0457549300554767,2.1947513477252323
157,서울, 송파구,101198,190322,81962,301491,327784,629275,2.469388253092897,0,서울 송파,6,8,2.089150212546187,3.171992728113404
158,서울, 양천구,56142,108836,57720,208741,221078,429819,1.9453222453222454,0,서울 양천,7,4,1.435138977104311,1.5840346944025918
159,서울, 영등포구,58287,113318,52455,167114,174395,341509,2.222362024592508,0,서울 영등포,8,4,1.0660041170218015,1.436664960553491
