,ID,커피지수,y,x
0,원주,0.6875,5,10
1,횡성,0.0,2,9
2,홍천,0.5,2,8
3,태백,1.0,4,10
4,양구,0.0,0,9
5,속초,0.5,1,10
6,인제,0.3333333333333333,1,8
7,동해,1.0,4,11
8,영월,0.0,7,10
9,철원,0.0,0,7
10,화천,0.0,0,8
11,삼척,0.3333333333333333,5,11
12,강릉,0.3125,3,11
13,고성(강원),2.0,0,10
14,정선,0.0,3,10
15,춘천,0.3793103448275862,1,9
16,평창,1.0,6,10
17,양양,0.0,2,10
18,남양주,0.2653061224489796,2,7
19,동두천,2.0,1,4
20,성남 중원,0.3333333333333333,7,8
21,성남 분당,1.9090909090909092,8,7
22,성남 수정,0.3333333333333333,8,8
23,구리,0.26666666666666666,3,8
24,광명,1.0,4,4
25,안양 만안,0.35714285714285715,4,3
26,안양 동안,0.9411764705882353,5,3
27,수원 권선,0.5714285714285714,10,5
28,평택,0.6111111111111112,11,4
29,안산 단원,0.14814814814814814,8,3
30,의정부,0.4230769230769231,1,7
31,수원 장안,0.6,10,6
32,고양 덕양,0.8695652173913043,3,4
33,고양 일산동,1.3125,2,4
34,광주,0.2777777777777778,7,9
35,시흥,0.35714285714285715,6,3
36,고양 일산서,1.75,3,3
37,안성,1.0,10,4
38,안산 상록,0.07692307692307693,7,3
39,수원 영통,0.5833333333333334,9,7
40,양평,0.6,4,9
41,여주,0.75,5,9
42,김포,0.5333333333333333,4,2
43,파주,0.2962962962962963,2,3
44,양주,0.4666666666666667,1,3
45,화성,0.6666666666666666,9,3
46,수원 팔달,1.0666666666666667,11,6
47,부천,0.34146341463414637,5,2
48,용인 수지,0.5714285714285714,8,9
49,포천,0.5,1,6
50,군포,0.375,9,5
51,연천,1.0,1,5
52,용인 기흥,0.5357142857142857,9,8
53,하남,0.6111111111111112,3,9
54,오산,0.6,10,3
55,이천,1.375,6,9
56,용인 처인,0.8571428571428571,9,9
57,의왕,0.14285714285714285,9,6
58,과천,2.0,7,7
59,가평,0.0,3,7
60,군산,0.0,16,2
61,함안,2.0,19,6
62,창원 성산,0.8461538461538461,20,7
63,거창,0.0,16,6
64,양산,0.4,19,7
65,창원 합포,0.5714285714285714,19,8
66,의령,0.0,18,7
67,밀양,0.6,17,8
68,진주,0.34782608695652173,18,6
69,하동,0.0,20,5
70,김해,0.4482758620689655,20,9
71,합천,0.0,16,7
72,고성(경남),0.0,22,7
73,통영,0.75,21,8
74,창원 의창,0.6363636363636364,20,6
75,창녕,0.5,17,7
76,함양,1.0,17,6
77,사천,0.6666666666666666,21,6
78,창원 회원,1.0,21,7
79,남해,0.0,22,6
80,창원 진해,0.6,20,8
81,산청,1.0,19,5
82,거제,0.7142857142857143,22,8
83,군포,0.0,9,5
84,울진,0.25,6,11
85,구미,0.5789473684210527,10,10
86,경주,0.38461538461538464,12,12
87,포항 남구,2.0,11,12
88,안동,0.5,9,10
89,포항 북구,0.6363636363636364,10,12
90,영주,0.0,10,9
